date,new_cases,total_cases,deaths,dhaka_cases,recovery,source,exchange_rate,gdp_growth,gdp_per_capita,inflation,remittances,trade_balance,unemployment,total_population,dhaka_population_estimated,urban_population_pct,population_density_per_km2,population_growth_rate,temperature,humidity,rainfall,sunshine_hours,nightlight_radiance
2022-01-01,6.0,6.0,0.0,3.0,5.0,DGHS_estimated,91.7454544396961,7.09982877575158,2716.48592780431,7.69695437176898,21505473781.2512,33.7799672705735,4.593,165200000.0,39647999.99999999,39.5,1112.7576451569446,1.0,20.0,71.0,0.0,5.8,25.75
2022-01-02,11.0,17.0,0.0,4.0,10.0,DGHS_estimated,91.78535589136128,7.096199415736038,2716.032590298745,7.7029449160594545,21507289418.027527,33.77230426821703,4.592619178082192,165204420.63537064,39649060.952488944,39.501344086021504,1112.7874217659346,1.0,18.3,83.0,0.0,4.7,25.766129032258064
2022-01-03,5.0,22.0,0.0,2.0,4.0,DGHS_estimated,91.82525734302644,7.092570055720497,2715.57925279318,7.708935460349928,21509105054.803856,33.76464126586055,4.592238356164383,165208841.27074128,39650121.9049779,39.50268817204301,1112.8171983749244,1.0,19.1,74.0,0.0,4.2,25.782258064516128
2022-01-04,5.0,27.0,0.0,2.0,4.0,DGHS_estimated,91.86515879469161,7.088940695704955,2715.125915287615,7.714926004640403,21510920691.58018,33.756978263504074,4.591857534246575,165213261.90611193,39651182.857466854,39.50403225806451,1112.8469749839144,1.0,18.9,76.0,0.0,4.4,25.798387096774192
2022-01-05,14.0,41.0,0.0,6.0,13.0,DGHS_estimated,91.90506024635678,7.085311335689413,2714.6725777820498,7.7209165489308775,21512736328.356506,33.74931526114759,4.591476712328767,165217682.54148257,39652243.80995581,39.505376344086024,1112.8767515929044,1.0,18.0,83.0,0.0,3.9,25.81451612903226
2022-01-06,5.0,46.0,0.0,2.0,4.0,DGHS_estimated,91.94496169802196,7.081681975673872,2714.219240276485,7.726907093221351,21514551965.13283,33.74165225879112,4.5910958904109584,165222103.1768532,39653304.762444764,39.50672043010753,1112.9065282018942,1.0,19.2,76.0,0.0,4.4,25.830645161290324
2022-01-07,11.0,57.0,0.0,5.0,10.0,DGHS_estimated,91.98486314968711,7.07805261565833,2713.7659027709196,7.732897637511826,21516367601.90916,33.73398925643464,4.590715068493151,165226523.81222385,39654365.71493372,39.50806451612903,1112.9363048108842,1.0,21.1,71.0,0.0,4.9,25.846774193548388
2022-01-08,12.0,69.0,0.0,5.0,11.0,DGHS_estimated,92.02476460135229,7.074423255642788,2713.312565265355,7.7388881818023,21518183238.685486,33.72632625407817,4.590334246575343,165230944.4475945,39655426.667422675,39.509408602150536,1112.9660814198742,1.0,21.9,65.0,0.0,5.8,25.862903225806452
2022-01-09,11.0,80.0,0.0,6.0,10.0,DGHS_estimated,92.06466605301746,7.070793895627247,2712.8592277597895,7.744878726092774,21519998875.46181,33.718663251721686,4.589953424657534,165235365.08296517,39656487.61991163,39.51075268817204,1112.995858028864,1.0,22.2,67.0,0.0,5.0,25.879032258064516
2022-01-10,12.0,92.0,0.0,6.0,11.0,DGHS_estimated,92.10456750468263,7.067164535611705,2712.4058902542247,7.750869270383249,21521814512.23814,33.71100024936521,4.589572602739726,165239785.7183358,39657548.572400585,39.512096774193544,1113.025634637854,1.0,22.3,66.0,0.0,3.9,25.89516129032258
2022-01-11,11.0,103.0,0.0,4.0,10.0,DGHS_estimated,92.1444689563478,7.063535175596164,2711.9525527486594,7.756859814673723,21523630149.014465,33.70333724700873,4.589191780821918,165244206.35370645,39658609.52488954,39.51344086021505,1113.0554112468437,1.0,22.3,67.0,0.0,3.9,25.911290322580644
2022-01-12,6.0,109.0,0.0,3.0,5.0,DGHS_estimated,92.18437040801297,7.059905815580622,2711.4992152430946,7.762850358964197,21525445785.79079,33.69567424465226,4.5888109589041095,165248626.9890771,39659670.477378495,39.51478494623655,1113.0851878558337,1.0,21.2,77.0,1.0,0.5,25.927419354838708
2022-01-13,14.0,123.0,0.0,8.0,13.0,DGHS_estimated,92.22427185967814,7.05627645556508,2711.0458777375293,7.768840903254672,21527261422.567116,33.68801124229579,4.588430136986301,165253047.62444773,39660731.42986745,39.516129032258064,1113.1149644648237,1.0,21.3,73.0,0.0,4.4,25.943548387096776
2022-01-14,14.0,137.0,0.0,6.0,13.0,DGHS_estimated,92.26417331134331,7.052647095549539,2710.5925402319644,7.774831447545146,21529077059.343445,33.680348239939306,4.588049315068493,165257468.25981838,39661792.382356405,39.51747311827957,1113.1447410738135,1.0,19.6,72.0,0.0,0.0,25.95967741935484
2022-01-15,6.0,143.0,0.0,2.0,5.0,DGHS_estimated,92.30407476300847,7.049017735533997,2710.1392027263996,7.78082199183562,21530892696.11977,33.67268523758283,4.587668493150685,165261888.89518902,39662853.33484536,39.51881720430107,1113.1745176828035,1.0,19.5,74.0,0.0,1.2,25.975806451612904
2022-01-16,10.0,153.0,0.0,4.0,9.0,DGHS_estimated,92.34397621467365,7.045388375518455,2709.6858652208343,7.786812536126094,21532708332.896095,33.66502223522635,4.587287671232876,165266309.53055966,39663914.287334315,39.52016129032258,1113.2042942917935,1.0,19.0,65.0,0.0,6.2,25.991935483870968
2022-01-17,14.0,167.0,0.0,7.0,13.0,DGHS_estimated,92.38387766633882,7.041759015502914,2709.2325277152695,7.792803080416569,21534523969.67242,33.65735923286988,4.586906849315069,165270730.1659303,39664975.23982327,39.52150537634408,1113.2340709007833,1.0,20.0,66.0,0.0,6.4,26.008064516129032
2022-01-18,14.0,181.0,0.0,6.0,13.0,DGHS_estimated,92.42377911800399,7.0381296554873725,2708.779190209704,7.798793624707043,21536339606.44875,33.6496962305134,4.586526027397261,165275150.80130094,39666036.192312226,39.522849462365585,1113.2638475097733,1.0,19.5,73.0,0.0,3.2,26.024193548387096
2022-01-19,10.0,191.0,0.0,5.0,9.0,DGHS_estimated,92.46368056966915,7.0345002954718305,2708.3258527041394,7.804784168997517,21538155243.225075,33.642033228156926,4.586145205479452,165279571.43667158,39667097.14480118,39.52419354838709,1113.2936241187633,1.0,18.7,77.0,0.0,4.6,26.04032258064516
2022-01-20,10.0,201.0,0.0,4.0,9.0,DGHS_estimated,92.50358202133432,7.0308709354562895,2707.872515198574,7.810774713287992,21539970880.0014,33.634370225800446,4.585764383561644,165283992.07204223,39668158.097290136,39.52553763440859,1113.323400727753,1.0,18.1,75.0,0.0,4.7,26.056451612903224
2022-01-21,6.0,207.0,0.0,2.0,5.0,DGHS_estimated,92.5434834729995,7.027241575440748,2707.4191776930093,7.816765257578466,21541786516.77773,33.62670722344397,4.585383561643836,165288412.70741287,39669219.04977909,39.526881720430104,1113.353177336743,1.0,18.8,72.0,0.0,3.1,26.072580645161292
2022-01-22,9.0,216.0,0.0,4.0,8.0,DGHS_estimated,92.58338492466467,7.023612215425206,2706.965840187444,7.82275580186894,21543602153.554054,33.61904422108749,4.585002739726027,165292833.3427835,39670280.00226804,39.52822580645161,1113.382953945733,1.0,19.7,73.0,0.0,0.0,26.088709677419356
2022-01-23,5.0,221.0,0.0,2.0,4.0,DGHS_estimated,92.62328637632983,7.019982855409665,2706.512502681879,7.828746346159415,21545417790.33038,33.61138121873102,4.584621917808219,165297253.97815415,39671340.954757,39.52956989247311,1113.4127305547229,1.0,19.8,73.0,0.0,0.0,26.10483870967742
2022-01-24,14.0,235.0,0.0,8.0,13.0,DGHS_estimated,92.663187827995,7.016353495394123,2706.059165176314,7.834736890449888,21547233427.106705,33.603718216374546,4.584241095890411,165301674.6135248,39672401.90724595,39.53091397849462,1113.442507163713,1.0,19.8,81.0,7.0,1.9,26.120967741935484
2022-01-25,5.0,240.0,0.0,2.0,4.0,DGHS_estimated,92.70308927966018,7.012724135378581,2705.605827670749,7.840727434740363,21549049063.883034,33.596055214018065,4.583860273972602,165306095.24889547,39673462.85973491,39.53225806451612,1113.4722837727027,1.0,21.1,79.0,0.0,2.5,26.137096774193548
